date,bus_rkl,bus_rkn,bus_rpn,rail_lrt_ampang,rail_mrt_kajang,rail_lrt_kj,rail_monorail,rail_mrt_pjy,rail_ets,rail_intercity,rail_komuter_utara,rail_tebrau,rail_komuter
2019-01-01,,,,113357,114173,139634,35804,,,,,,
2019-01-02,,,,182715,169316,274224,31859,,,,,,
2019-01-03,,,,187904,175304,286469,31893,,,,,,
2019-01-04,,,,198420,187891,304755,34121,,,,,,
2019-01-05,,,,120773,112660,145036,29950,,,,,,
2019-01-06,,,,101145,95913,120032,25342,,,,,,
2019-01-07,,,,197569,184365,301290,31988,,,,,,
2019-01-08,,,,196879,185920,304680,31792,,,,,,
2019-01-09,,,,197314,188770,307069,32305,,,,,,
2019-01-10,,,,198876,189818,310510,32057,,,,,,
2019-01-11,,,,209859,204378,326471,33265,,,,,,
2019-01-12,,,,124608,123932,152720,30671,,,,,,
2019-01-13,,,,106718,108346,127805,27235,,,,,,
2019-01-14,,,,199162,192036,306455,32172,,,,,,
2019-01-15,,,,195405,189880,305742,31260,,,,,,
2019-01-16,,,,198901,194697,311279,31612,,,,,,
2019-01-17,,,,201926,194701,314277,31234,,,,,,
2019-01-18,,,,217270,212546,330484,35981,,,,,,
2019-01-19,,,,130758,127306,157194,30339,,,,,,
2019-01-20,,,,105012,110488,125599,27159,,,,,,
2019-01-21,,,,103443,106077,125094,23836,,,,,,
2019-01-22,,,,196298,189718,304452,31245,,,,,,
2019-01-23,,,,197309,193904,308968,31051,,,,,,
2019-01-24,,,,198692,193784,313285,32338,,,,,,
2019-01-25,,,,215764,210356,332682,36334,,,,,,
2019-01-26,,,,136301,133944,161765,33508,,,,,,
2019-01-27,,,,107763,114660,128906,27630,,,,,,
2019-01-28,,,,201365,193349,311540,32889,,,,,,
2019-01-29,,,,201416,197553,317389,33093,,,,,,
2019-01-30,,,,203261,200482,320084,33103,,,,,,
2019-01-31,,,,216817,209858,324593,35298,,,,,,
2019-02-01,,,,133281,134808,176585,24817,,,,,,
2019-02-02,,,,116729,110338,130286,27648,,,,,,
2019-02-03,,,,103011,97759,119030,27508,,,,,,
2019-02-04,,,,139596,124890,200211,32076,,,,,,
2019-02-05,,,,102683,98115,142522,33484,,,,,,
2019-02-06,,,,96384,91478,118858,27009,,,,,,
2019-02-07,,,,149863,142324,229122,31452,,,,,,
2019-02-08,,,,157270,149732,245190,31909,,,,,,
2019-02-09,,,,109346,104722,134543,27174,,,,,,
2019-02-10,,,,99421,94513,115661,22790,,,,,,
2019-02-11,,,,195601,187579,303415,31101,,,,,,
2019-02-12,,,,195645,191843,308682,31333,,,,,,
2019-02-13,,,,193979,190300,307471,31183,,,,,,
2019-02-14,,,,198331,199824,315114,33229,,,,,,
2019-02-15,,,,209305,205707,326085,35781,,,,,,
2019-02-16,,,,132846,130475,160601,30697,,,,,,
2019-02-17,,,,107138,104056,132422,25363,,,,,,
2019-02-18,,,,196753,196520,271155,35571,,,,,,
2019-02-19,,,,178768,157389,294107,32237,,,,,,
2019-02-20,,,,199157,196053,312133,32399,,,,,,
2019-02-21,,,,200226,197214,313732,31764,,,,,,
2019-02-22,,,,212795,209391,330890,35687,,,,,,
2019-02-23,,,,125301,122615,156854,29840,,,,,,
2019-02-24,,,,104184,104368,126762,25721,,,,,,
2019-02-25,,,,198840,191436,308389,32058,,,,,,
2019-02-26,,,,197991,192901,312558,31574,,,,,,
2019-02-27,,,,198505,195542,313176,32549,,,,,,
2019-02-28,,,,201166,197248,317961,33380,,,,,,
2019-03-01,,,,217456,213982,336857,37968,,,,,,
2019-03-02,,,,134544,130713,165206,33679,,,,,,
2019-03-03,,,,111588,108332,137573,28642,,,,,,
2019-03-04,,,,197801,192865,307273,32552,,,,,,
2019-03-05,,,,200357,193701,314642,33206,,,,,,
2019-03-06,,,,203100,199792,319435,33651,,,,,,
2019-03-07,,,,204283,199036,319841,35364,,,,,,
2019-03-08,,,,223645,220947,343280,39461,,,,,,
2019-03-09,,,,132857,126214,159221,34063,,,,,,
2019-03-10,,,,109988,103224,128440,27606,,,,,,
2019-03-11,,,,201798,192667,310035,32928,,,,,,
2019-03-12,,,,200905,197370,316228,33031,,,,,,
2019-03-13,,,,200456,197359,315024,32369,,,,,,
2019-03-14,,,,201577,198948,312119,32572,,,,,,
2019-03-15,,,,233271,211468,334809,35659,,,,,,
2019-03-16,,,,160425,131162,161990,34126,,,,,,
2019-03-17,,,,130314,104384,129970,26051,,,,,,
2019-03-18,,,,197854,190320,303053,32068,,,,,,
2019-03-19,,,,197216,192269,310379,32345,,,,,,
2019-03-20,,,,200186,195318,311704,32786,,,,,,
2019-03-21,,,,202089,198312,316024,37280,,,,,,
2019-03-22,,,,218157,214748,330716,35980,,,,,,
2019-03-23,,,,130663,123197,152413,29100,,,,,,
2019-03-24,,,,104866,101601,124368,24332,,,,,,
2019-03-25,,,,194363,190074,297773,33848,,,,,,
2019-03-26,,,,194677,193744,306973,33964,,,,,,
2019-03-27,,,,198831,198920,309805,33891,,,,,,
2019-03-28,,,,199485,196676,311555,35043,,,,,,
2019-03-29,,,,238981,242298,340778,37946,,,,,,
2019-03-30,,,,152283,128946,166120,31514,,,,,,
2019-03-31,,,,123681,104480,134139,25965,,,,,,
2019-04-01,,,,205245,190815,306373,31777,,,,,,
2019-04-02,,,,207847,197166,317075,33265,,,,,,
2019-04-03,,,,211684,200319,322013,32886,,,,,,
2019-04-04,,,,212319,201210,322939,34392,,,,,,
2019-04-05,,,,229860,214867,340221,39335,,,,,,
2019-04-06,,,,160353,130768,172325,33828,,,,,,
2019-04-07,,,,130957,109808,139908,29366,,,,,,
2019-04-08,,,,202323,194782,312395,33474,,,,,,
2019-04-09,,,,200751,197901,317200,32767,,,,,,
2019-04-10,,,,200386,198312,318125,32572,,,,,,
2019-04-11,,,,201013,198606,316672,32376,,,,,,
2019-04-12,,,,213747,209837,333770,36728,,,,,,
2019-04-13,,,,155043,123642,166605,31381,,,,,,
2019-04-14,,,,113787,107228,137712,28599,,,,,,
2019-04-15,,,,200342,190762,308053,33609,,,,,,
2019-04-16,,,,199017,192672,313531,32443,,,,,,
2019-04-17,,,,198520,193438,313730,32576,,,,,,
2019-04-18,,,,199315,194390,316735,32675,,,,,,
2019-04-19,,,,209956,206110,328474,38612,,,,,,
2019-04-20,,,,126409,120236,153408,30547,,,,,,
2019-04-21,,,,108371,101519,128759,26289,,,,,,
2019-04-22,,,,196368,187208,303587,33991,,,,,,
2019-04-23,,,,194416,189231,307655,31589,,,,,,
2019-04-24,,,,200264,198913,314979,33584,,,,,,
2019-04-25,,,,201047,196071,314855,34681,,,,,,
2019-04-26,,,,220087,211446,328788,39144,,,,,,
2019-04-27,,,,148493,134471,167022,34317,,,,,,
2019-04-28,,,,114793,106221,132350,28466,,,,,,
2019-04-29,,,,201303,191921,311052,35497,,,,,,
2019-04-30,,,,207805,204609,322908,39020,,,,,,
2019-05-01,,,,135451,135733,154302,35264,,,,,,
2019-05-02,,,,213318,203184,328376,37180,,,,,,
2019-05-03,,,,229453,217969,346726,40923,,,,,,
2019-05-04,,,,149913,128447,165331,33327,,,,,,
2019-05-05,,,,119501,106250,129839,27341,,,,,,
2019-05-06,,,,193188,184983,293625,29534,,,,,,
2019-05-07,,,,200326,191637,306966,30220,,,,,,
2019-05-08,,,,199550,194259,308408,30088,,,,,,
2019-05-09,,,,200581,195436,309213,28430,,,,,,
